Timestamp,Name (Optional),Program,Department?,Year of Study,Gender,Age Group,Locality type,Which device did you use for the online mode of education?,How do you rate your internet connectivity?,How much time do you spend each day on an average studying online?,Details of courses in previous semester [Total courses],Details of courses in previous semester [Quantitative courses],Rate the following courses in online education in terms of easy of study [Quantitative course],Rate the following courses in online education in terms of easy of study [Qualitative course],How boring are pre-recorded lectures?,What is your preferred duration for the following modes of content delivery?  [Pre-recorded],What is your preferred duration for the following modes of content delivery?  [Live],What is your preferred duration for the following modes of content delivery?  [Classroom],Rate yourself on the following [Complete pre-recorded lectures on time],Rate yourself on the following [Attentive in live discussion],How many pre recorded lectures you actually watched for a complete course? ,The online lectures are delivered in the following ways. Please rate your learning experience with classroom teaching   [Recorded Video lectures ],The online lectures are delivered in the following ways. Please rate your learning experience with classroom teaching   [Live video lectures ],The online lectures are delivered in the following ways. Please rate your learning experience with classroom teaching   [Doubt clearning in live session],The online lectures are delivered in the following ways. Please rate your learning experience with classroom teaching   [Doubt clearing in discussion forum],Do you think taking Quiz is easy to attend in Online Mode at your own comfort as compared to Classroom quizzes?,Do short Quizzes at a regular interval keep you engaged in the course?,Do you think the misconducts have increased during quizzes and term exams conducted during the online mode of teaching?,Rate yourself in loyalty towards these assessments during the online mode of teaching.,"Some may use unethical Ways in attending quizzes, being your competition, do you appreciate that?",What made you do misconduct in exams? ,How do you rate your colleague being loyal to the following assessments conducted in online mode? [Multiple choice questions],How do you rate your colleague being loyal to the following assessments conducted in online mode? [Descriptive Exams],How do you rate your colleague being loyal to the following assessments conducted in online mode? [Projects],Do you think 'More Questions in a short span of time'  can  in help controlling misconducts in exams?,Choose your preferred mode for the following assessments [Mid Sem],Choose your preferred mode for the following assessments [End Sem],Choose your preferred mode for the following assessments [Quizzes],Choose your preferred mode for the following assessments [Assignments],"Please rate on a scale of 1-5, how stressful was writing exams online? [fear of losing internet connection]","Please rate on a scale of 1-5, how stressful was writing exams online? [laptop issues]","Please rate on a scale of 1-5, how stressful was writing exams online? [losing track of time]","Please rate on a scale of 1-5, how stressful was writing exams online? [converting handwritten sheets to pdf]","Please rate on a scale of 1-5, how stressful was writing exams online? [Submission on time]",How much time does it take you to create a single pdf and submit for all your answer script?,Do you find in-video quizzes helpful in having focus in the lecture?,Doing a project in a group in online mode [Ease of group discussions ],Doing a project in a group in online mode [Ease of scheduling  discussion with guide?],Doing a project in a group in online mode [Ease of Project submission],Doing a project in a group in online mode [Ease of time management],"Presenting /Submitting Project Online [Your attentiveness, to listen to others ']",Presenting /Submitting Project Online [Reviewing presentation with course instructor],Presenting /Submitting Project Online [Your overall personality development],Presenting /Submitting Project Online [How often do you think people just read what's just written in their presentation slides?],Which of the following modes of education helps you learn quantitative courses better? ,Which of the following modes of education helps you learn qualitative courses better? ,How effective was lab work in Online mode(If applicable)?,Which of the following factors contributed to mental stress durng your online mode of education if any? ,Please suggest any improvements that you have in mind that can enhance the experience in online education
2021/04/14 11:32:51 AM GMT+5:30,,PG,Mathematics & Statistics,First Year,Male,23 - 26,Urban,Laptop/Desktop,2,greater than 5 hour,4,less than equal to 2,3,4,Very,Less than 30 minutes,30 - 60 minutes,More than 60 minutes,Always,Often,5,Poor,Poor,Slightly Better,Very Effective,Agree,Not sure,Can't say,5,Its OK,Fear of losing grades;Preparation was poor for the exam;Assessments used to be difficult,Can not say,Can not say,Can not say,Agreee,Offline,Offline,Online,Online,1,1,3,4,4,7 -10 minutes,May be,Very Difficult,Difficult,Convenient,Very Difficult,1,1,2,4,Classroom Lectures with recordings available for later,Classroom Lectures with recordings available for later,3,Working for longer hours using system (eg: eye strain or other health problems);lack of regular interaction with friends-teachers;lack of extra curricular activities,NA
2021/04/14 11:54:4 AM GMT+5:30,,UG,Economic Sciences,First Year,Male,15-18,Urban,Laptop/Desktop,5,1-3 hour,5 or more,less than equal to 2,4,3,Adjustable,Less than 30 minutes,30 - 60 minutes,More than 60 minutes,Often,Often,4,Equal,Slightly Better,Poor,Slightly Better,Disagree,Not sure,Yes,3,Not at all,Fear of losing grades,Disloyal,Can not say,Loyal,Agreee,Offline,Offline,Offline,Online,4,5,3,5,3,7 -10 minutes,No,Convenient,Difficult,Normal,Normal,4,3,2,4,Classroom Lectures with recordings available for later,Classroom Lectures with recordings available for later,1,Working for longer hours using system (eg: eye strain or other health problems);lack of regular interaction with friends-teachers;lack of extra curricular activities,
2021/04/14 12:01:10 PM GMT+5:30,,UG,Earth Sciences,Second Year,Male,15-18,Urban,Laptop/Desktop,4,3-5 hour,5 or more,less than equal to 2,3,3,Very,Less than 30 minutes,More than 60 minutes,More than 60 minutes,Often,Often,4,Equal,Slightly Better,Slightly Better,Poor,Agree,Yes,Can't say,3,Not at all,Fear of losing grades,Disloyal,Loyal,Loyal,Agreee,Online,Online,Online,Online,2,2,4,5,5,5-7 minutes,No,Difficult,Difficult,Normal,Normal,4,3,3,2,Classroom Lectures with recordings available for later,Classroom Lectures with recordings available for later,,lack of regular interaction with friends-teachers,"Instead of online exams, more emphasis should be given to projects and assignments. It will increase loyalty and learning power towards the subject. "
2021/04/14 12:01:54 PM GMT+5:30,,UG,Physics,First Year,Male,15-18,Urban,Laptop/Desktop,1,less than 1 hour,4,less than equal to 2,3,1,Very,Less than 30 minutes,Less than 30 minutes,Less than 30 minutes,Always,Never,4,Very Poor,Slightly Better,Very Effective,Very Poor,Disagree,No,Yes,1,Not at all,Fear of losing grades;Preparation was poor for the exam,Disloyal,Can not say,Loyal,Agreee,Both ways,Both ways,Offline,Online,5,5,4,5,2,5-7 minutes,No,Very Difficult,Very Difficult,Difficult,Difficult,2,3,1,1,Classroom Lectures with recordings available for later,Live lectures,1,Working for longer hours using system (eg: eye strain or other health problems);lack of regular interaction with friends-teachers;lack of extra curricular activities,
2021/04/14 12:11:04 PM GMT+5:30,,PhD,Mathematics & Statistics,First Year,Female,23 - 26,Urban,Laptop/Desktop,3,greater than 5 hour,4,3,3,4,Adjustable,30 - 60 minutes,More than 60 minutes,30 - 60 minutes,Often,Always,5,Equal,Slightly Better,Very Effective,Poor,Maybe,Yes,Yes,5,Not at all,,Can not say,Loyal,Loyal,Disagree,Offline,Offline,Offline,Online,5,5,4,5,5,5-7 minutes,Yes,Normal,Difficult,Convenient,Difficult,3,3,3,2,Live lectures,Classroom Lectures with recordings available for later,2,Working for longer hours using system (eg: eye strain or other health problems);lack of regular interaction with friends-teachers;lack of extra curricular activities,
2021/04/14 12:12:17 PM GMT+5:30,,PhD,Earth Sciences,Second Year,Male,23 - 26,Urban,Laptop/Desktop,3,1-3 hour,less than equal to 2,less than equal to 2,1,3,Very,Less than 30 minutes,30 - 60 minutes,30 - 60 minutes,Sometimes,Often,2,Poor,Equal,Poor,Poor,Disagree,Yes,Yes,4,Not at all,,Disloyal,Disloyal,Disloyal,Agreee,Both ways,Offline,Both ways,Both ways,4,2,3,3,5,less than 5 min,May be,Normal,Very Difficult,Convenient,Difficult,3,3,1,5,Classroom Lectures,Classroom Lectures,2,Working for longer hours using system (eg: eye strain or other health problems);lack of regular interaction with friends-teachers;lack of extra curricular activities,
2021/04/14 12:16:27 PM GMT+5:30,,PhD,Economic Sciences,First Year,Male,23 - 26,Rural,Laptop/Desktop,3,1-3 hour,5 or more,3,3,3,Not boring at all.!!,Less than 30 minutes,30 - 60 minutes,30 - 60 minutes,Sometimes,Rarely,5,Slightly Better,Slightly Better,Equal,Equal,Agree,Yes,Can't say,5,Not at all,Fear of losing grades;Assessments used to be difficult,Disloyal,Disloyal,Disloyal,Agreee,Offline,Offline,Both ways,Both ways,4,5,3,4,5,less than 5 min,Yes,Very Difficult,Very Difficult,Very Convenient,Normal,2,3,3,4,Classroom Lectures with recordings available for later,Classroom Lectures with recordings available for later,2,Working for longer hours using system (eg: eye strain or other health problems);lack of regular interaction with friends-teachers;lack of extra curricular activities,Nope
2021/04/14 12:19:23 PM GMT+5:30,,PG,Mathematics & Statistics,First Year,Male,23 - 26,Urban,Laptop/Desktop,5,3-5 hour,4,less than equal to 2,2,4,Very,30 - 60 minutes,More than 60 minutes,More than 60 minutes,Often,Often,4,Slightly Better,Equal,Very Effective,Slightly Better,Agree,Yes,Yes,4,Not at all,Fear of losing grades;Preparation was poor for the exam,Can not say,Can not say,Can not say,Agreee,Both ways,Both ways,Online,Offline,5,5,4,5,5,5-7 minutes,May be,Very Difficult,Convenient,Normal,Difficult,2,4,4,2,Classroom Lectures with recordings available for later,Classroom Lectures with recordings available for later,,Working for longer hours using system (eg: eye strain or other health problems);lack of regular interaction with friends-teachers;lack of extra curricular activities,
2021/04/14 12:20:18 PM GMT+5:30,,PG,Economic Sciences,First Year,Male,19 - 22,Urban,Laptop/Desktop,5,less than 1 hour,4,3,5,3,Very,Less than 30 minutes,Less than 30 minutes,More than 60 minutes,Never,Rarely,2,Very Poor,Very Poor,Very Poor,Very Poor,Disagree,No,Yes,1,Its OK,Fear of losing grades,Disloyal,Disloyal,Can not say,Disagree,Offline,Offline,Offline,Offline,1,1,1,1,1,less than 5 min,No,Very Difficult,Very Difficult,Very Difficult,Very Difficult,1,1,1,1,Classroom Lectures,Classroom Lectures,1,lack of regular interaction with friends-teachers;lack of extra curricular activities,
2021/04/14 12:21:45 PM GMT+5:30,,UG,Economic Sciences,Fourth Year,Male,15-18,Urban,Laptop/Desktop,5,3-5 hour,5 or more,3,4,3,Adjustable,30 - 60 minutes,30 - 60 minutes,30 - 60 minutes,Often,Never,5,Poor,Poor,Poor,Equal,Agree,Yes,Yes,4,Not at all,Fear of losing grades,Disloyal,Disloyal,Can not say,Agreee,Offline,Offline,Offline,Offline,2,1,2,3,2,less than 5 min,Yes,Difficult,Difficult,Difficult,Normal,1,1,2,4,Classroom Lectures with recordings available for later,Classroom Lectures with recordings available for later,,lack of regular interaction with friends-teachers;lack of extra curricular activities,
